"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Michael Burton","DEN","6.7","14.6","0.6","7.1","45.6","0.6","0.0","13.0"
"Jase McClellan","TB","30.7","82.0","0.4","3.0","20.9","0.1","0.0","13.0"
"Craig Reynolds","DET","8.5","38.0","0.1","7.0","55.9","0.4","0.0","12.4"
"Travis Homer","CHI","22.2","71.6","0.3","3.3","25.0","0.1","0.0","12.3"
"Ronnie Rivers","LAR","31.7","90.4","0.5","0.3","2.3","0.0","0.0","12.2"
"C.J. Ham","MIN","3.0","13.6","1.0","5.3","34.8","0.1","0.0","11.3"
"Michael Carter","ARI","9.6","41.2","0.2","6.6","44.9","0.3","0.0","11.3"
"Pierre Strong Jr.","CLE","16.5","55.8","0.2","4.4","33.1","0.1","0.0","10.8"
"LeQuint Allen Jr.","JAC","4.0","50.9","0.6","3.0","22.0","0.0","0.0","10.6"
"Carson Steele","KC","27.3","70.3","0.3","4.1","22.0","0.1","0.7","10.2"
"Jordan Mims","TEN","14.8","62.1","0.3","2.0","14.1","0.1","0.0","9.9"
"Israel Abanikanda","GB","13.3","54.8","0.4","1.3","10.7","0.1","0.0","9.2"
"Hassan Haskins","LAC","15.5","35.0","0.3","1.3","13.7","0.3","0.0","8.9"
"Dare Ogunbowale","HOU","5.2","24.9","0.1","5.3","40.6","0.2","0.0","8.0"
"Julius Chestnut","TEN","9.9","30.3","0.1","4.4","31.6","0.2","0.0","7.9"
"Frank Gore Jr.","BUF","10.2","42.8","0.2","2.0","14.9","0.1","0.0","7.7"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","28.0","0.5","0.0","7.5"
"Deuce Vaughn","DAL","9.0","35.4","0.1","3.1","21.2","0.1","0.0","7.0"
"Gary Brightwell","CIN","8.1","33.8","0.2","2.4","16.7","0.1","0.0","6.8"
"Eric Gray","NYG","11.9","42.7","0.2","1.9","14.4","0.1","0.5","6.0"
"Jashaun Corbin","ATL","9.3","35.1","0.2","1.5","10.6","0.0","0.0","5.7"
"Hunter Luepke","DAL","4.2","14.6","0.1","3.9","27.9","0.1","0.0","5.0"
"Darrynton Evans","BUF","5.1","21.3","0.1","1.9","15.3","0.1","0.0","4.9"
"DeeJay Dallas","ARI","5.8","22.2","0.1","3.2","21.4","0.1","0.5","4.4"
"J.J. Taylor","HOU","0.0","0.0","0.0","4.2","28.0","0.2","0.0","4.1"
"Trey Sermon","PIT","5.0","20.8","0.1","1.6","11.5","0.1","0.0","3.9"
"Zonovan Knight","ARI","2.4","10.1","0.1","2.1","15.3","0.1","0.0","3.6"
"Elijah Dotson","ATL","2.6","10.9","0.1","2.0","13.9","0.1","0.0","3.5"
"Velus Jones Jr.","NO","2.4","10.5","0.1","1.9","13.5","0.1","0.0","3.4"
"Terrell Jennings","NE","2.4","10.1","0.1","1.9","14.6","0.1","0.0","3.3"
"Dylan Laube","LV","0.0","10.0","0.0","1.5","11.0","0.0","0.0","2.1"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","15.0","0.1","0.0","1.9"
"Carlos Washington Jr.","ATL","0.0","15.0","0.0","0.5","3.5","0.0","0.0","1.9"
"Scott Matlock","LAC","0.0","0.0","0.0","2.2","14.7","0.1","0.0","1.8"
"Raheim Sanders","LAC","0.0","10.5","0.0","1.0","7.5","0.0","0.0","1.8"
"Tyler Badie","DEN","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Phil Mafah","DAL","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Jeff Wilson Jr.","SF","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Trayveon Williams","CLE","1.2","5.1","0.0","1.0","7.0","0.0","0.0","1.4"
"Avery Williams","PHI","1.4","5.7","0.0","1.9","13.2","0.1","0.5","1.2"
"George Holani","SEA","0.0","8.5","0.0","0.5","3.5","0.0","0.0","1.2"
"D'Ernest Johnson","BAL","0.0","8.5","0.0","0.5","3.5","0.0","0.0","1.2"
"Keilan Robinson","PHI","0.0","2.0","0.0","1.0","7.0","0.0","0.0","0.9"
"Sione Vaki","DET","0.0","4.5","0.0","0.5","3.5","0.0","0.0","0.8"
"JaMycal Hasty","NE","0.0","4.0","0.0","0.5","3.5","0.0","0.0","0.8"
"Myles Gaskin","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nyheim Miller-Hines","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Vaughn","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Jackson","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
